Time,Eigenvalue,Probability
0,-6.216716,0.015844567183834535
0,-6.160795,0.011190509800057535
0,-6.148378,0.16180172333616216
0,-5.992505,0.08703316872214728
0,-5.9378595,0.05808912192388527
0,-5.7889104,0.030869979964465166
0,-5.674522,1.4292833255521964e-14
0,-5.674522,1.0207980574957723e-14
0,-5.6618905,0.01477009960895842
0,-5.5429564,0.00014240882109163577
0,-5.539723,2.4010982329532876e-15
0,-5.539723,2.7815715791243262e-15
0,-5.504187,8.316711727456807e-15
0,-5.504187,1.0731866454009974e-14
0,-5.4748445,9.331703626292651e-15
0,-5.4748445,6.2149293354146406e-15
0,-5.3762794,2.2054578552785394e-15
0,-5.3762794,1.2338603275034152e-15
0,-5.3309774,8.448651582643837e-16
0,-5.3309774,5.3602716170959446e-15
0,-5.308079,3.3873418775777087e-15
0,-5.308079,3.2223410319185484e-15
0,-5.195145,2.379689304394322e-16
0,-5.195145,5.386299378324854e-16
0,-5.0472903,0.00041064787698208774
0,-5.013544,2.607506268886498e-16
0,-5.004697,2.7278527196701235e-16
0,-4.9746594,4.0592532181941925e-16
0,-4.921343,0.00033109847535687034
0,-4.910042,4.321629799155885e-16
0,-4.897293,0.0001244519559223051
0,-4.8678894,6.070297245749089e-15
0,-4.8678894,7.065352221579813e-15
0,-4.8528504,4.2172548242180885e-15
0,-4.8528504,1.6030021515819357e-15
0,-4.836178,2.04285286211578e-17
0,-4.8056245,7.211299284722675e-17
0,-4.791374,8.07730585519313e-18
0,-4.7863674,0.0001380843337167037
0,-4.783911,1.9602375817609175e-16
0,-4.7811522,6.388239960145904e-06
0,-4.7787614,4.475083157174167e-05
0,-4.724098,3.0255114393583605e-16
0,-4.669076,0.0006517558507286615
0,-4.6544394,0.0012766829896561221
0,-4.650885,1.8818997670026355e-15
0,-4.650885,8.834927495178745e-15
0,-4.609754,5.325496120881304e-05
0,-4.594752,0.00011618055441526068
0,-4.5827146,8.712185268426902e-17
0,-4.555691,0.0001066762879796436
0,-4.533889,1.2997079497899567e-14
0,-4.533889,7.846215348018893e-15
0,-4.530792,3.079749103792684e-06
0,-4.521237,2.309486231566701e-16
0,-4.5153294,3.0494372944309817e-05
0,-4.5039186,5.701002715549977e-05
0,-4.4349556,4.193719396836798e-06
0,-4.4328604,0.0004836827935725298
0,-4.4303665,7.941780800474478e-17
0,-4.4281645,4.2992004668381777e-17
0,-4.4281645,1.951563910473908e-18
0,-4.4008646,9.378348840773305e-18
0,-4.4008646,1.1831356394271408e-17
0,-4.381002,1.2356090951228896e-08
0,-4.366984,4.079134215737969e-15
0,-4.366984,4.022094862409405e-16
0,-4.335713,3.9302025668655166e-15
0,-4.335713,7.6923742216099405e-16
0,-4.2441673,0.0010038723178956155
0,-4.2391114,5.908902015046952e-18
